datetime,%user,%nice,%system,%iowait,%steal,%idle
2023-02-04 04:35:36,9.82,0.05,1.4,0.07,0.0,88.66
2023-02-04 04:35:37,14.77,0.0,7.95,1.64,0.0,75.63
2023-02-04 04:35:38,26.04,0.0,3.54,1.9,0.0,68.52
2023-02-04 04:35:39,14.02,0.0,2.15,2.02,0.0,81.82
2023-02-04 04:35:40,10.96,0.0,2.02,2.9,0.0,84.13
2023-02-04 04:35:41,7.45,0.0,4.92,1.52,0.0,86.11
2023-02-04 04:35:42,7.3,0.0,5.16,0.38,0.0,87.15
2023-02-04 04:35:43,9.95,0.0,4.79,0.5,0.0,84.76
2023-02-04 04:35:44,13.46,0.0,0.88,0.0,0.0,85.66
2023-02-04 04:35:45,29.59,0.0,3.0,1.0,0.0,66.42
2023-02-04 04:35:46,72.26,0.0,3.82,0.13,0.0,23.79
2023-02-04 04:35:47,72.01,0.0,2.02,0.0,0.0,25.98
2023-02-04 04:35:48,66.54,0.0,1.13,0.13,0.0,32.2
2023-02-04 04:35:49,68.57,0.0,2.03,0.0,0.0,29.4
2023-02-04 04:35:50,66.46,0.0,1.27,0.0,0.0,32.28
2023-02-04 04:35:51,70.43,0.0,1.0,0.0,0.0,28.57
2023-02-04 04:35:52,69.53,0.0,1.9,0.13,0.0,28.45
2023-02-04 04:35:53,70.74,0.0,1.77,0.0,0.0,27.49
2023-02-04 04:35:54,70.24,0.0,1.49,0.25,0.0,28.02
2023-02-04 04:35:55,71.23,0.0,1.49,0.0,0.0,27.27
2023-02-04 04:35:56,68.55,0.0,1.76,0.0,0.0,29.69
2023-02-04 04:35:57,70.3,0.0,1.13,0.0,0.0,28.57
2023-02-04 04:35:58,68.69,0.0,1.39,0.13,0.0,29.8
2023-02-04 04:35:59,67.89,0.0,1.27,0.0,0.0,30.84
2023-02-04 04:36:00,51.01,0.0,1.26,0.0,0.0,47.73
2023-02-04 04:36:01,44.42,0.0,1.4,0.13,0.0,54.06
2023-02-04 04:36:02,51.83,0.0,0.88,0.13,0.0,47.16
2023-02-04 04:36:03,70.15,0.0,0.88,0.0,0.0,28.97
2023-02-04 04:36:04,67.13,0.0,1.64,0.0,0.0,31.23
2023-02-04 04:36:05,71.28,0.0,1.64,0.0,0.0,27.08
2023-02-04 04:36:06,75.94,0.0,2.14,0.0,0.0,21.91
2023-02-04 04:36:07,70.47,0.0,1.12,0.12,0.0,28.29
2023-02-04 04:36:08,66.29,0.0,0.88,0.0,0.0,32.83
2023-02-04 04:36:09,74.06,0.0,2.99,0.0,0.0,22.94
2023-02-04 04:36:10,67.43,0.0,1.91,0.0,0.0,30.66
2023-02-04 04:36:11,69.98,0.0,0.99,0.12,0.0,28.91
2023-02-04 04:36:12,71.84,0.0,2.38,0.0,0.0,25.78
2023-02-04 04:36:13,65.26,0.0,1.99,0.0,0.0,32.75
2023-02-04 04:36:14,66.29,0.0,1.27,0.0,0.0,32.45
2023-02-04 04:36:15,68.95,0.0,1.77,0.0,0.0,29.28
2023-02-04 04:36:16,66.38,0.0,1.5,0.0,0.0,32.12
2023-02-04 04:36:17,51.12,0.0,0.75,0.5,0.0,47.64
2023-02-04 04:36:18,45.79,0.0,1.26,0.13,0.0,52.83
2023-02-04 04:36:19,68.47,0.0,0.88,0.13,0.0,30.52
2023-02-04 04:36:20,64.66,0.0,0.38,0.0,0.0,34.96
2023-02-04 04:36:21,69.39,0.0,1.49,0.0,0.0,29.12
2023-02-04 04:36:22,66.83,0.0,1.13,0.0,0.0,32.04
2023-02-04 04:36:23,68.19,0.0,2.29,0.0,0.0,29.52
2023-02-04 04:36:24,70.65,0.0,1.4,0.0,0.0,27.95
2023-02-04 04:36:25,65.32,0.0,1.52,0.0,0.0,33.16
2023-02-04 04:36:26,67.6,0.0,1.52,0.0,0.0,30.88
2023-02-04 04:36:27,70.33,0.0,1.77,0.0,0.0,27.9
2023-02-04 04:36:28,69.47,0.0,1.01,0.0,0.0,29.52
2023-02-04 04:36:29,67.59,0.0,1.63,0.0,0.0,30.78
2023-02-04 04:36:30,70.94,0.0,2.14,0.13,0.0,26.79
2023-02-04 04:36:31,68.27,0.0,1.14,0.13,0.0,30.47
2023-02-04 04:36:32,68.3,0.0,1.51,0.0,0.0,30.19
