datetime,device,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
2023-02-04 04:35:36,nvme0n1,17.68,986.26,5.27,22.96,0.27,55.8,19.31,919.85,14.45,42.81,1.36,47.63,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.39,0.03,1.84
2023-02-04 04:35:37,nvme0n1,1043.0,27388.0,1631.0,60.99,0.19,26.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,60.8
2023-02-04 04:35:38,nvme0n1,1118.0,26916.0,853.0,43.28,0.17,24.08,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,81.6
2023-02-04 04:35:39,nvme0n1,1246.0,20572.0,254.0,16.93,0.15,16.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,80.8
2023-02-04 04:35:40,nvme0n1,1644.0,17156.0,346.0,17.39,0.15,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,79.2
2023-02-04 04:35:41,nvme0n1,2681.0,331328.0,0.0,0.0,0.12,123.58,141.0,744.0,35.0,19.89,0.06,5.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,90.4
2023-02-04 04:35:42,nvme0n1,158.0,33560.0,0.0,0.0,0.28,212.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,11.6
2023-02-04 04:35:43,nvme0n1,148.0,12864.0,0.0,0.0,0.45,86.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,14.4
2023-02-04 04:35:44,nvme0n1,11.0,904.0,0.0,0.0,0.27,82.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
2023-02-04 04:35:45,nvme0n1,285.0,21620.0,0.0,0.0,0.29,75.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,14.4
2023-02-04 04:35:46,nvme0n1,94.0,616.0,30.0,24.19,0.24,6.55,4.0,100.0,21.0,84.0,0.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,8.8
2023-02-04 04:35:47,nvme0n1,26.0,104.0,0.0,0.0,0.23,4.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.6
2023-02-04 04:35:48,nvme0n1,0.0,0.0,0.0,0.0,0.0,0.0,226.0,992.0,1.0,0.44,0.43,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8
2023-02-04 04:35:49,nvme0n1,8.0,272.0,60.0,88.24,2.12,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.2
2023-02-04 04:35:50,nvme0n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-04 04:35:51,nvme0n1,1.0,60.0,0.0,0.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.2
2023-02-04 04:35:52,nvme0n1,1.0,4.0,0.0,0.0,5.0,4.0,2.0,136.0,32.0,94.12,3.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,1.6
2023-02-04 04:35:53,nvme0n1,1.0,4.0,0.0,0.0,5.0,4.0,20.0,512.0,69.0,77.53,0.25,25.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.25,0.01,2.0
2023-02-04 04:35:54,nvme0n1,72.0,1688.0,148.0,67.27,0.38,23.44,5.0,100.0,20.0,80.0,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.03,5.2
2023-02-04 04:35:55,nvme0n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-04 04:35:56,nvme0n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-04 04:35:57,nvme0n1,1.0,16.0,3.0,75.0,5.0,16.0,1.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
2023-02-04 04:35:58,nvme0n1,1.0,4.0,0.0,0.0,5.0,4.0,144.0,632.0,2.0,1.37,0.65,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6
2023-02-04 04:35:59,nvme0n1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,22.0,91.67,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.8
2023-02-04 04:36:00,nvme0n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
